"ID","CODE_ID","CODE_DES","CODE_CONTENT","CODE_CONTENT2","CODE_CONTENT3","CODE_CONTENT4","CODE_CONTENT5","DELETE_FLG","CREATE_TIME","CREATE_USER","UPDATE_TIME","UPDATE_USER","UPDATE_CONT"
1,"STAFF_STATUS","STAFF_STATUS","1","待機中",,,,"0",,,,,
2,"STAFF_STATUS","STAFF_STATUS","2","現場中",,,,"0",,,,,
3,"STAFF_STATUS","STAFF_STATUS","3","休暇中",,,,"0",,,,,
4,"STAFF_STATUS","STAFF_STATUS","4","離職",,,,"0",,,,,
5,"FILE_PATH_KINMU","FILE_PATH_KINMU","D:/File/Kinmu/",,,,,"0",,,,,
6,"FILE_PATH_KOUTSU","FILE_PATH_KOUTSU","D:/File/Koutsu/",,,,,"0",,,,,
7,"FILE_PATH_TATE","FILE_PATH_TATE","D:/File/Tate/",,,,,"0",,,,,
8,"PERM_STATUS","承認状態","1","<font style=""color:red"">未提出</font>",,,,"0",,,,,
9,"PERM_BG","権限番号","0","社員",,,,"0",,,,,
10,"PERM_BG","権限番号","1","組長",,,,"0",,,,,
11,"PERM_BG","権限番号","2","業務","JAVA",,,"0",,,,,
12,"PERM_BG","権限番号","3","業務","SAP",,,"0",,,,,
13,"PERM_BG","権限番号","4","財務","ALL",,,"0",,,,,
14,"PERM_STATUS","承認状態","2","<font style=""color:blue"">提出済み</font>",,,,"0",,,,,
15,"PERM_STATUS","承認状態","3","<font style=""color:green"">承認済み</font>",,,,"0",,,,,
16,"PERM_STATUS","承認状態","0","<font style=""color:black"">なし</font>",,,,"0",,,,,
17,"IT_TYPE","業務タイプ","JAVA",,,,"","0",,,,,
18,"IT_TYPE","業務タイプ","SAP",,,,,"0",,,,,
19,"BUTTON_TYPE","ボタンタイプ","社員の作成","javascript:this.form.action='/addStaff'",,,,"0",,,,,
